Year&Month,Total,Export,Import,Balance
2013-01,"21,787 ","11,776 ","10,010 ","1,766 "
2013-02,"16,555 ","8,747 ","7,808 ",939 
2013-03,"22,938 ","11,438 ","11,500 ",-61 
2013-04,"22,293 ","11,726 ","10,567 ","1,159 "
2013-05,"21,522 ","11,408 ","10,114 ","1,294 "
2013-06,"19,951 ","10,827 ","9,124 ","1,703 "
2013-07,"21,886 ","11,490 ","10,396 ","1,094 "
2013-08,"21,755 ","11,747 ","10,008 ","1,740 "
2013-09,"21,953 ","11,430 ","10,523 ",907 
2013-10,"20,905 ","11,412 ","9,493 ","1,919 "
2013-11,"22,737 ","12,411 ","10,325 ","2,086 "
2013-12,"23,888 ","12,718 ","11,170 ","1,547 "
2014-01,"23,371","12,664","10,707",1958
2014-02,"15,298","6,963","8,335",-1372
2014-03,"20,284","10,385","9,899",486
2014-04,"21,976","11,556","10,421",1135
2014-05,"21,849","12,036","9,813",2223
2014-06,"21,062","11,511","9,551",1961
2014-07,"23,277","13,099","10,177",2922
2014-08,"22,586","12,824","9,761",3063
2014-09,"24,385","13,152","11,234",1918
2014-10,"22,634","12,720","9,915",2805
2014-11,"22,648","13,006","9,643",3363
2014-12,"24,872","13,968","10,904",3064
2015-01,"20,857","12,240","8,617",3623
2015-02,"17,008","10,351","6,657",3694
2015-03,"17,550","8,848","8,702",146
2015-04,"19,586","10,815","8,771",2044
2015-05,"19,639","11,582","8,058",3524
2015-06,"20,437","11,598","8,839",2759
2015-07,"21,069","11,814","9,255",2558
2015-08,"20,349","11,998","8,352",3646
2015-09,"22,209","12,961","9,248",3713
2015-10,"20,589","12,249","8,340",3910
2015-11,"21,557","12,490","9,067",3423
2015-12,"24,652","14,221","10,431",3791
2016-01,"18,190","10,918","7,272",3647
2016-02,"14,055","7,931","6,124",1806
2016-03,"18,637","10,130","8,507",1622
2016-04,"19,114","10,861","8,253",2608
2016-05,"19,829","11,372","8,457",2915
2016-06,"20,066","11,499","8,567",2932
2016-07,"20,612","11,889","8,723",3167
2016-08,"21,855","12,593","9,263",3330
2016-09,"21,641","12,161","9,480",2680
2016-10,"20,345","11,769","8,576",3193
2016-11,"23,133","13,006","10,127",2879
2016-12,"25,909","14,291","11,618",2673
2017-01,"21,610 ","12,485 ","9,124 ","3,361 "
2017-02,"17,084 ","8,178 ","8,905 ",-727 
2017-03,"23,039 ","12,299 ","10,739 ","1,560 "
2017-04,"22,002 ","12,259 ","9,742 ","2,517 "
2017-05,"23,256 ","13,005 ","10,251 ","2,755 "
2017-06,"23,897 ","13,367 ","10,530 ","2,837 "
2017-07,"23,143 ","13,113 ","10,030 ","3,083 "
2017-08,"24,035 ","13,384 ","10,651 ","2,733 "
2017-09,"24,620 ","13,239 ","11,381 ","1,857 "
2017-10,"22,367 ","12,414 ","9,953 ","2,460 "
2017-11,"25,963 ","14,241 ","11,722 ","2,518 "
2017-12,"27,085 ","15,325 ","11,760 ","3,564 "
2018-01,"25,129 ","13,177 ","11,952 ","1,224 "
2018-02,"19,973 ","11,061 ","8,912 ","2,149 "
2018-03,"22,476 ","11,063 ","11,413 ",-349 
2018-04,"23,555 ","12,610 ","10,945 ","1,665 "
2018-05,"25,194 ","13,332 ","11,862 ","1,470 "
2018-06,"24,835 ","13,704 ","11,131 ","2,574 "
2018-07,"25,914 ","13,824 ","12,090 ","1,733 "
2018-08,"27,141 ","14,415 ","12,726 ","1,689 "
2018-09,"28,775 ","15,404 ","13,371 ","2,033 "
2018-10,"27,202 ","14,734 ","12,469 ","2,265 "
2018-11,"28,106 ","15,483 ","12,623 ","2,860 "
2018-12,"26,711 ","15,322 ","11,390 ","3,932 "
2019-01,"27,422 ","15,039 ","12,382 ","2,657 "
2019-02,"18,202 ","9,235 ","8,967 ",268 
2019-03,"24,656 ","13,391 ","11,264 ","2,127 "
2019-04,"25,146 ","13,016 ","12,131 ",885 
2019-05,"25,971 ","14,364 ","11,607 ","2,757 "
2019-06,"25,662 ","14,511 ","11,151 ","3,360 "
2019-07,"27,489 ","15,260 ","12,228 ","3,032 "
2019-08,"27,195 ","14,792 ","12,403 ","2,388 "
2019-09,"27,880 ","15,295 ","12,585 ","2,711 "
2019-10,"27,114 ","15,046 ","12,069 ","2,977 "
2019-11,"28,682 ","15,657 ","13,024 ","2,633 "
2019-12,"30,209 ","16,767 ","13,442 ","3,325 "
2020-03,24456,12926,11530,1397
2020-04,"24,953 ","14,062 ","10,890 ",3172
2020-05,"24,736 ","14,586 ","10,151 ",4435
2020-06,"26,973 ","15,131 ","11,842 ",3289
2020-07,"29,270 ","16,846 ","12,424 ",4422
2020-08,"28,839 ","16,502 ","12,336 ",4166
2020-09,"30,663 ","16,620 ","14,043 ",2577
2020-10,"28,370 ","16,194 ","12,176 ",4018
